Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Daphnet: Ancient Philosophy,http://ancientsource.daphnet.iliesi.cnr.it/,True,http://www.daphnet.iliesi.cnr.it/,True,,False,AIUCD,,True,protocolo https non aggiornato,2022-09-24 20:41:09,2024-06-06 05:22:16
Daphnet: Modern Philosophy,http://modernsource.daphnet.iliesi.cnr.it/,True,http://www.daphnet.iliesi.cnr.it/,True,,False,AIUCD,,True,protocolo https non aggiornato,2022-10-01 13:30:27,2022-10-01 13:30:27
ASIt: Atlante Sintattico d’Italia,http://svrims2.dei.unipd.it:8080/asit-maldura/pages/search.jsp,True,http://asit.maldura.unipd.it/,True,,False,AIUCD,,True,protocolo https non aggiornato,2013-12-16 00:21:39,2024-02-28 19:17:19
The “Verbo-Visual Virtual” Platform,https://www.verbovisualevirtuale.org/,True,,False,,False,AIUCD,,True,protocolo https non aggiornato,2016-04-24 11:51:24,2024-07-12 19:54:39
Dante: A Web Application for the History of Art,https://dante.beniculturali.unipd.it/dante-web/,True,,False,,False,AIUCD,,True,accedere con credenziali,2022-01-22 13:54:32,2024-11-21 23:13:26
Open Philology Project,,False,http://openphilology.org/,True,,False,AIUCD,,False,,,
Progetto Mambrino,https://www.mambrino.it/it,True,,False,,False,AIUCD,,False,,2019-08-22 11:12:00,2024-12-04 09:24:39
TRANSSCRIPT,,False,https://anr.fr/Project-ANR-14-CE31-0022,True,,False,AIUCD,,False,,,
Illuminated Dante Project (IDP),https://www.dante.unina.it/ndp/public/frontend,True,,False,,False,AIUCD,,False,,2024-12-12 14:45:03,2024-12-12 14:45:03
Eagle Project,https://www.eagle-network.eu/basic-search/,True,https://www.eagle-network.eu/basic-search/,False,,False,AIUCD,,False,,2016-03-07 22:59:33,2024-09-09 11:47:46
AMiGre,,False,http://amigre.upatras.gr/,True,,False,AIUCD,,False,protocolo https non aggiornato,,
BelliniInRete,,False,http://bellininrete.istc.cnr.it/,True,,False,AIUCD,,False,protocolo https non aggiornato,,
Czech-IT! Linguistic corpus of native Czech and Slovak learners acquiring Italian language,https://czech-it.github.io/,True,,False,,False,AIUCD,,False,,2022-01-19 21:30:45,2024-08-07 06:08:32
Clavius Correspondence,http://claviusontheweb.it/lod,False,,False,,False,AIUCD,,False,impossibile raggiungere il sito,2022-01-19 23:34:09,2022-01-19 23:34:09
The Medieval Kingdom of Sicily Image Database,https://koseodiah.org/index.php,True,,False,,False,AIUCD,,False,,2023-11-04 02:17:11,2024-12-14 18:52:28
Archivio Università Castrense,https://archivio.universitacastrense.eu/,True,,False,,False,AIUCD,,True,non va protocollo javascript,2019-08-28 10:33:59,2024-09-01 10:30:03
Epigraphs of Castello Ursino Museum,,False,http://epicum.istc.cnr.it/,True,,False,AIUCD,,False,,,
14-18 Documenti e immagini della Grande Guerra,http://www.14-18.it/progetto,True,,False,,False,AIUCD,,False,,2017-05-12 05:03:56,2024-06-21 05:33:28
