"Titolo","URL progetto","Sito funzionante","Sito non trovato","Sito non funzionante","Sito non reinderizzato","Sito parzialmente Inacessibile","Sito dopo migrazione","URL sito vetrina ","URL sito vetrina risolve?","URL Anticamera ","URL Anticamera risolve?","Provenance","KNOT URI","NOTE","URL progetto First_Seen","URL progetto Last_Seen"
"Toward an Audio Digital Library 2.0: SMASH, a Social Music Archive of SHellac Phonographic Discs","https://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html","False","False","True","False","False","","","False","","False","IRCDL","","protocolo https non aggiornato","2024-04-15 09:19:38","2024-04-16 19:25:36"
"The Challenges of Building Ex Libris Rosetta, a Digital Preservation System","https://exlibrisgroup.com/products/rosetta-digital-asset-management-and-preservation/","False","False","True","True","False","https://knowledge.exlibrisgroup.com/Rosetta","","False","","False","IRCDL","","protocolo https non aggiornato","2018-02-03 22:25:00","2024-11-16 19:14:58"
"Progetto TraMonti","http://www.tramontivaldivara.it/","False","False","True","True","False","https://tramonti.labcd.unipi.it/","","False","","False","DH Awards","","protocolo https non aggiornato","2013-02-03 03:21:43","2019-11-20 16:28:37"
"Lemlat","","False","False","False","False","False","","http://www.lemlat3.eu/","True","","False","Italian DH Institutions","","accedere con credenziali","",""
"Creta Inscriptions","https://ilc4clarin.ilc.cnr.it/cretaninscriptions","False","False","True","False","False","","","False","","False","Italian DH Institutions","","","2021-05-20 15:47:12","2024-05-20 13:26:17"
"Archivio storico fotografico Adolfo Venturi","https://digilab.uniroma1.it/risorse/archivio-storico-fotografico","False","False","True","False","False","","","False","","False","Italian DH Institutions","","","2022-06-25 04:21:47","2024-06-16 02:06:21"
"Open Philology Project","http://openphilology.org/","False","False","True","False","False","","","False","","False","AIUCD","","protocolo https non aggiornato","",""
"Clavius Correspondence","http://claviusontheweb.it/lod","False","False","True","False","False","","","False","","False","AIUCD","","","2022-01-19 23:34:09","2022-01-20 18:11:23"
"Ecodigit","https://ecodigit.dtclazio.it/","False","False","True","False","False","","https://dtclazio.it/progetto-ecodigit","True","","False","AIUCD","","","2020-11-28 18:52:12","2023-03-20 16:56:11"
"Emodsar","http://corpora.unica.it/TEITOK/emodsar","False","False","True","False","False","","","False","","False","AIUCD","","","2022-01-20 08:37:13","2023-09-25 00:54:34"
"Petrarca itinera","https://petrarchsitinera.github.io/","False","False","True","False","False","","","False","","True","AIUCD","","","2023-06-05 04:07:41","2023-06-05 04:09:40"
"Personalization in Digital Libraries: An Intelligent Service based on Semantic User Profiles
","http://193.204.187.223:8080/iswc rebuild/","False","False","False","False","False","","","False","","False","IRCDL","","","NOTPROVIDED","NOTPROVIDED"
"MultiMatch: A New Way to Access Cultural Heritage Information across Media and Language Boundaries","http://multimatch01.isti.cnr.it/ ","False","False","True","False","False","","http://www.multimatch.eu/","True","","False","IRCDL","","","",""
"TrebleCLEF: Evaluation, Best Practices and Collaboration for Multilingual Access"," https://www.multimatch.org/","False","False","True","False","False","","https://www.trebleclef.eu/","True","","False","IRCDL","","","",""
"CLEF Ad-hoc: A Perspective on the Evolution of the Cross-Language Evaluation Forum","http://ims.dei.unipd.it/gridclef/","False","False","True","False","False","","","False","","False","IRCDL","","","2008-11-09 07:48:28","2015-06-29 16:09:11"
"Historical Digital Archive and Geo-referenced Contents of the Francigena Librari Web Portal","http://www.francigena.beniculturali.it/web/valit/il-progetto","False","False","False","True","False","https://www.viefrancigene.org/","","False","","False","IRCDL","","non è possibile visualizzare metadati né i testi che vogliono mostrare. Download non possibile. ","2012-12-22 08:06:53","2015-07-07 01:31:20"
"SACHER: Smart Architecture for Cultural Heritage in Emilia Romagna","http://www.sacherproject.com/","False","False","True","False","False","","","False","","False","IRCDL","","","2018-04-26 17:11:47","2024-06-13 12:20:08"
"A Research Tool for the ERC-Funded EMoBookTrade project ","http://emobooktrade.uniud.it/","False","False","False","True","False","https://emobooktrade.unimi.it/","","False","","False","IRCDL","","","2017-08-06 02:49:11","2020-05-20 07:50:03"
"The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results","https://www.openuphub.eu/","False","False","True","False","False","","","False","","False","IRCDL","","Adobe Flash Player","2017-06-05 00:00:23","2024-12-04 02:58:28"
"Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library ","https://imagelab.ing.unimore.it/annoteProject","False","False","True","False","False","","","False","","False","IRCDL","","","",""
"Regional Research Portal FVG: an OpenScience portal ","https://research.unityfvg.it/","False","False","True","False","False","","","False","","False","IRCDL","","","2018-01-20 19:44:41","2024-03-29 04:05:40"
"Predicting the Usability of the Dice CAPTCHA via Artificial Neural Network","https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path=%2Falessiaamelio%2F+software-tools%2Fdice-captcha-dataset.","False","False","False","False","False","","","False","","False","IRCDL","","","",""
"Exploring Semantic Archival Collections: The Case of Piłsudski Institute of America","http://arkivo-ontology.org/","False","False","False","True","False","https://github.com/ArkivoTeam/ARKIVO","","False","","False","IRCDL","","","2018-02-03 09:33:03","2018-07-27 16:21:12"
"The digital lab of “crunched books”: explore and annotate the classics","http://cbook.it/en/","False","False","True","False","False","","","False","","False","DH Awards","","","2015-02-22 12:00:23","2024-01-19 14:03:36"
"ALCIDE (Analysis of Language and Content In a Digital Environment)","http://celct.fbk.eu:8080/Alcide_Demo/","False","False","False","False","False","","","False","","False","DH Awards","","","2015-09-06 20:57:24","2020-02-24 23:54:23"
"Galassia Ariosto","http://galassiaariosto.sns.it/","False","False","True","False","False","","","False","","False","DH Awards","","","2017-09-30 16:52:43","2024-11-27 11:09:04"
"NumET","https://nuovomedioevo.it/numet-2/","False","False","True","False","False","","","False","","False","DH Awards","","","2018-03-30 09:25:10","2021-10-22 16:05:12"
"Tebtynis: fragmentary voices from the past","http://www.papirologia.unipr.it/ricerca/CPGM/index.html","False","False","False","True","False","http://www.papirologia.unipr.it/ricerca/tebtynis.html","","False","","False","Italian DH Institutions","","","",""
"EDF","http://edf.unive.it/","False","False","True","False","False","","","False","","False","Italian DH Institutions","","","2019-09-09 13:09:34","2024-06-17 09:14:50"
"Musisque Deoque: Un archivio digitale di poesia latina","https://www.mqdq.it/public/","False","False","True","False","False","","","False","","False","Italian DH Institutions","","problemi con alcuni caricamenti","2016-01-20 20:58:22","2024-12-19 05:06:47"
"EdMuse","https://edmuse.eu/edmuse-platform/","False","False","True","False","False","","http://edmuse.eu/it/index.html","False","","False","Italian DH Institutions","","","2017-12-15 04:18:47","2024-09-02 14:04:34"
"Archaide","http://www.archaide.eu/","False","False","True","False","False","","","","","","KNOT","http://purl.org/knot/data/archaide-project","è necessario avere delle credenziali","2017-01-16 07:46:50","2024-01-27 00:49:54"
"Corago LOD","http://corago.unibo.it/lod","False","False","False","True","False","http://coragolod1.ing.unibo.it:8080/corago/","","","","","KNOT","http://purl.org/knot/data/corago-lod-project","","2022-06-07 08:53:46","2022-12-08 05:13:43"
"Ramusio","http://virgo.unive.it/ecf-workflow/books/Ramusio/main/intro.html","False","False","True","False","False","","","","","","KNOT","http://purl.org/knot/data/elec-ramusio-project","","2015-08-29 08:43:51","2023-10-28 17:41:44"
"studiolo belfiore","https://studiolobelfiore.unibo.it/","False","False","False","True","False","https://framelab.unibo.it/vt/studiolodibelfiore/Studiolo%20di%20Belfiore.html","","","","","KNOT","http://purl.org/knot/data/belfiore-project","","2022-01-09 21:57:51","2024-12-06 20:57:31"
"Marchio Angeli’s Inventory ","http://vmo.unive.it/inventory1720/","False","False","True","False","False","","","","","","KNOT","http://purl.org/knot/data/marchio-angeli-project","","2020-05-16 03:09:03","2024-11-29 22:59:42"
"PedeCerto - metrica latina digitale","https://www.pedecerto.eu/public/","False","False","False","True","False","https://www.pedecerto.eu/","","","","","KNOT","http://purl.org/knot/data/pedecerto-project","","2020-02-19 13:00:44","2024-11-28 11:51:56"
"The Sound of St Mark's","http://vmo.unive.it/choirbooks/","False","False","True","False","False","","","","","","KNOT","http://purl.org/knot/data/sound-stmark-project","","2018-04-30 07:50:10","2024-11-25 08:12:18"
