Titolo,URL_progetto,URL progetto risolve?,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot
Atlas,https://dh-atlas.github.io/deliverables.html,FALSE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Arts 01,https://digilab.uniroma1.it/ricerca/progetti-conclusi/arts-0-1,FALSE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,,,NOSTATUSCODE,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,NOSTATUSCODE,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library,https://imagelab.ing.unimore.it/annoteProject,FALSE,,FALSE,,FALSE,IRCDL,,FALSE,,,,404,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,404,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Predicting the Usability of the Dice CAPTCHA via Artificial Neural Network,https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path=%2Falessiaamelio%2F+software-tools%2Fdice-captcha-dataset.,FALSE,,FALSE,,FALSE,IRCDL,,FALSE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Tebtynis: fragmentary voices from the past,http://www.papirologia.unipr.it/ricerca/CPGM/index.html,FALSE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,,,404,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,404,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Perspectiva,https://dlib.biblhertz.it/perspectiva/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
OpenGadda,https://numgadda.github.io/OpenGadda/databasecolumnmerge.html,TRUE,,FALSE,,FALSE,AIUCD,,FALSE,,2025-03-06 21:04:47,2025-03-06 21:04:47,200,https://web.archive.org/web/20250306210447/https://numgadda.github.io/OpenGadda/databasecolumnmerge.html,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2025-03-06 21:04:47,2025-03-06 21:04:47,200,https://web.archive.org/web/20250306210447/https://numgadda.github.io/OpenGadda/databasecolumnmerge.html,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
virtual repository of photographers' sales catalogues,https://virtualphotothek.khi.fi.it/catalogues/publisher,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
"Eine römische Trilogie: Schudt, Caldana, Schlosser",https://dlib.biblhertz.it/guide/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Heinrich Wölfflin,https://editions.humanitiesconnect.pub/exist/apps/hwgw/index.html,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Spatial,https://dlib.biblhertz.it/spatial/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
