Titolo;URL progetto;Sito funzionante;Sito non trovato;Sito non funzionante;Sito non reinderizzato;Sito parzialmente Inacessibile;Sito dopo migrazione;URL sito vetrina;URL sito vetrina risolve?;URL Anticamera;URL Anticamera risolve?;Provenance;KNOT URI;NOTE;URL progetto First_Seen;URL progetto Last_Seen
VOCABO;;FALSO;VERO;FALSO;FALSO;FALSO;;https://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html;VERO;;FALSO;Italian DH Institutions;;;;
Varianti della rosa;;FALSO;VERO;FALSO;FALSO;FALSO;;https://www.variantidellarosa.it/;VERO;;FALSO;AIUCD;;;;
university research funding patent;;FALSO;VERO;FALSO;FALSO;FALSO;;https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/;VERO;;FALSO;Italian DH Institutions;;;;
TrebleCLEF: Evaluation, Best Practices and Collaboration for Multilingual Access;https://www.multimatch.org/;FALSO;FALSO;VERO;FALSO;FALSO;;https://www.trebleclef.eu/;VERO;;FALSO;IRCDL;;;2006-06-23 00:53:49;2024-11-02 12:28:27
TRANSSCRIPT;;FALSO;VERO;FALSO;FALSO;FALSO;;https://anr.fr/Project-ANR-14-CE31-0022;VERO;;FALSO;AIUCD;;protocolo https non aggiornato;;
Toward an Audio Digital Library 2.0: SMASH, a Social Music Archive of SHellac Phonographic Discs;https://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html;FALSO;FALSO;VERO;FALSO;FALSO;;;FALSO;;FALSO;IRCDL;;protocolo https non aggiornato;2024-04-15 09:19:38;2024-04-16 19:25:36
The Sound of St Mark's;http://vmo.unive.it/choirbooks/;FALSO;FALSO;VERO;FALSO;FALSO;;;;;;KNOT;http://purl.org/knot/data/sound-stmark-project;;2018-04-30 07:50:10;2024-11-25 08:12:18
The nuncio's secret archives;;FALSO;VERO;FALSO;FALSO;FALSO;;https://nsa.unipr.it;VERO;;FALSO;Italian DH Institutions;;;;
The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results;https://www.openuphub.eu/;FALSO;FALSO;VERO;FALSO;FALSO;;;FALSO;;FALSO;IRCDL;;Adobe Flash Player;2017-06-05 00:00:23;2025-03-25 02:00:56
The digital lab of �crunched books�: explore and annotate the classics;http://cbook.it/en/;FALSO;FALSO;VERO;FALSO;FALSO;;;FALSO;;FALSO;DH Awards;;;2015-02-22 12:00:23;2024-01-19 14:03:36
The Challenges of Building Ex Libris Rosetta, a Digital Preservation System;https://exlibrisgroup.com/products/rosetta-digital-asset-management-and-preservation/;FALSO;FALSO;VERO;VERO;FALSO;https://knowledge.exlibrisgroup.com/Rosetta;;FALSO;;FALSO;IRCDL;;protocolo https non aggiornato;2018-02-03 22:25:00;2026-03-05 12:02:12
Tebtynis: fragmentary voices from the past;http://www.papirologia.unipr.it/ricerca/CPGM/index.html;FALSO;FALSO;FALSO;VERO;FALSO;http://www.papirologia.unipr.it/ricerca/tebtynis.html;;FALSO;;FALSO;Italian DH Institutions;;;;
studiolo belfiore;https://studiolobelfiore.unibo.it/;FALSO;FALSO;FALSO;VERO;FALSO;https://framelab.unibo.it/vt/studiolodibelfiore/Studiolo%20di%20Belfiore.html;;;;;KNOT;http://purl.org/knot/data/belfiore-project;;2022-01-09 21:57:51;2024-12-06 20:57:31
?ivadharma database;;FALSO;VERO;FALSO;FALSO;FALSO;;https://shivadharmaproject.com/the-sivadhama-infrastructure-modeling-a-web-application-for-managing-scholarly-data/;VERO;;FALSO;Italian DH Institutions;;ricerca per parole non va;;
SACHER: Smart Architecture for Cultural Heritage in Emilia Romagna;http://www.sacherproject.com/;FALSO;FALSO;VERO;FALSO;FALSO;;;FALSO;;FALSO;IRCDL;;;2018-04-26 17:11:47;2024-06-13 12:20:08
ROADS;;FALSO;VERO;FALSO;FALSO;FALSO;;https://csc.dei.unipd.it/roads-project/index.html;VERO;;FALSO;Italian DH Institutions;;404 page not found;;
