Titolo,URL progetto,Sito funzionante,Sito non trovato,Sito non funzionante,Sito non reinderizzato,Sito parzialmente Inacessibile,Sito dopo migrazione,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,NOTE
VOCABO,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html,TRUE,,FALSE,Italian DH Institutions,,
Varianti della rosa,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://www.variantidellarosa.it/,TRUE,,FALSE,AIUCD,,
university research funding patent,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/,TRUE,,FALSE,Italian DH Institutions,,
"TrebleCLEF: Evaluation, Best Practices and Collaboration for Multilingual Access", https://www.multimatch.org/,FALSE,FALSE,TRUE,FALSE,FALSE,,https://www.trebleclef.eu/,TRUE,,FALSE,IRCDL,,
TRANSSCRIPT,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://anr.fr/Project-ANR-14-CE31-0022,TRUE,,FALSE,AIUCD,,protocolo https non aggiornato
"Toward an Audio Digital Library 2.0: SMASH, a Social Music Archive of SHellac Phonographic Discs",https://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,protocolo https non aggiornato
The Sound of St Mark's,http://vmo.unive.it/choirbooks/,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/sound-stmark-project,
The nuncio's secret archives,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://nsa.unipr.it,TRUE,,FALSE,Italian DH Institutions,,
"The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results",https://www.openuphub.eu/,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,Adobe Flash Player
The digital lab of “crunched books”: explore and annotate the classics,http://cbook.it/en/,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,
"The Challenges of Building Ex Libris Rosetta, a Digital Preservation System",https://exlibrisgroup.com/products/rosetta-digital-asset-management-and-preservation/,FALSE,FALSE,TRUE,TRUE,FALSE,https://knowledge.exlibrisgroup.com/Rosetta,,FALSE,,FALSE,IRCDL,,protocolo https non aggiornato
Tebtynis: fragmentary voices from the past,http://www.papirologia.unipr.it/ricerca/CPGM/index.html,FALSE,FALSE,FALSE,TRUE,FALSE,http://www.papirologia.unipr.it/ricerca/tebtynis.html,,FALSE,,FALSE,Italian DH Institutions,,
studiolo belfiore,https://studiolobelfiore.unibo.it/,FALSE,FALSE,FALSE,TRUE,FALSE,https://framelab.unibo.it/vt/studiolodibelfiore/Studiolo%20di%20Belfiore.html,,,,,KNOT,http://purl.org/knot/data/belfiore-project,
śivadharma database,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://shivadharmaproject.com/the-sivadhama-infrastructure-modeling-a-web-application-for-managing-scholarly-data/,TRUE,,FALSE,Italian DH Institutions,,ricerca per parole non va
SACHER: Smart Architecture for Cultural Heritage in Emilia Romagna,http://www.sacherproject.com/,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
ROADS,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://csc.dei.unipd.it/roads-project/index.html,TRUE,,FALSE,Italian DH Institutions,,404 page not found
Regional Research Portal FVG: an OpenScience portal ,https://research.unityfvg.it/,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
Ramusio,http://virgo.unive.it/ecf-workflow/books/Ramusio/main/intro.html,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/elec-ramusio-project,
Progetto TraMonti,http://www.tramontivaldivara.it/,FALSE,FALSE,TRUE,TRUE,FALSE,https://tramonti.labcd.unipi.it/,,FALSE,,FALSE,DH Awards,,protocolo https non aggiornato
