Titolo,URL progetto,URL progetto risolve?,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot
14-18 Documenti e immagini della Grande Guerra,http://www.14-18.it/progetto,TRUE,,FALSE,,FALSE,AIUCD,,FALSE,,2018-12-20 19:56:09,2024-08-09 16:11:42,200,https://web.archive.org/web/20240809161142/https://14-18.it/progetto/citazioni,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
3d icons,http://3dicons.ceti.gr/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,2014-09-08 02:09:58,2024-09-10 05:04:26,200,https://web.archive.org/web/20240910050426/http://3dicons.ceti.gr/index.php/3d-from-europeana,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
3DHOP: 3D Heritage Online Presenter,http://vcg.isti.cnr.it/3dhop/,TRUE,,FALSE,,FALSE,DH Awards,,FALSE,,2014-06-05 09:33:38,2024-11-27 00:22:28,NOSTATUSCODE,https://web.archive.org/web/20241127002228/http://vcg.isti.cnr.it/3dhop/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
A Contribution for the Dissemination of Cultural Heritage Content to a Wider Public,http://ipsa.ipsa-project.org/,TRUE,http://ipsa.ipsa-project.org/,TRUE,,FALSE,IRCDL,,TRUE,,2022-01-20 15:44:19,2024-05-03 10:06:28,200,https://web.archive.org/web/20240503100628/http://ipsa.ipsa-project.org/ipsa-web/.97http://www.lancelot-project.pitt.edu/lancelot-project.html.98https://www.getty.edu/art/manuscripts/,2022-01-20 15:44:19,2024-05-03 10:06:28,200,https://web.archive.org/web/20240503100628/http://ipsa.ipsa-project.org/ipsa-web/.97http://www.lancelot-project.pitt.edu/lancelot-project.html.98https://www.getty.edu/art/manuscripts/
A Multi-layer Digital Library for Mediaeval Legal Manuscripts (Mosaico project),http://mosaico.cirsfid.unibo.it/,TRUE,,FALSE,,FALSE,IRCDL,,TRUE,,2013-05-08 14:14:18,2024-07-06 18:10:25,200,https://web.archive.org/web/20240706181025/http://mosaico.cirsfid.unibo.it/?page=manuscript-images-,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
A Research Tool for the ERC-Funded EMoBookTrade project,http://emobooktrade.uniud.it/,FALSE,,FALSE,,FALSE,IRCDL,,FALSE,,2017-08-06 02:49:11,2020-05-20 07:50:03,NOSTATUSCODE,https://web.archive.org/web/20200520075003/http://emobooktrade.uniud.it/content/call-papers,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
A Software Architecture for Narratives,https://dlnarratives.eu/narratives.html,FALSE,,FALSE,,FALSE,IRCDL,,FALSE,,2020-03-04 02:32:14,2024-07-24 19:14:38,200,https://web.archive.org/web/20240724191438/https://dlnarratives.eu/narratives.html,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Abruzzen und Molise,https://db.biblhertz.it/abruzzo/index.xml,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2015-12-23 17:19:12,2024-06-27 11:30:22,200,https://web.archive.org/web/20240627113022/https://db.biblhertz.it/abruzzo/index.xml,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
AGLIO Atlante Grammaticale della Lingua Italiana delle Origini,http://aglio.ovi.cnr.it/index.php,TRUE,,,,,KNOT,http://purl.org/knot/data/aglio-project,FALSE,,2020-08-13 11:52:35,2024-02-21 09:08:44,200,https://web.archive.org/web/20240221090844/http://aglio.ovi.cnr.it/index.php,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Alchimia di Jackson Pollock / Jackson Pollock: Alchemy in 3D,,TRUE,http://vcg.isti.cnr.it/alchemy/,TRUE,,FALSE,DH Awards,,FALSE,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2015-02-23 04:46:54,2024-09-16 19:31:11,NOSTATUSCODE,https://web.archive.org/web/20240916193111/http://vcg.isti.cnr.it/alchemy/viewer/index.html
ALCIDE (Analysis of Language and Content In a Digital Environment),http://celct.fbk.eu:8080/Alcide_Demo/,FALSE,,FALSE,,FALSE,DH Awards,,FALSE,,2015-09-06 20:57:24,2020-02-24 23:54:23,NOSTATUSCODE,https://web.archive.org/web/20200224235423/http://celct.fbk.eu:8080/Alcide_Demo/login,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Alcide Digitale,https://alcidedigitale.fbk.eu/platform/,FALSE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,2021-10-24 19:02:52,2024-09-21 08:05:29,200,https://web.archive.org/web/20240921080529/https://alcidedigitale.fbk.eu/platform/?doc=2218,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Alessandro Manzoni,https://www.alessandromanzoni.org,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2002-11-24 05:51:31,2024-12-26 01:35:32,200,https://web.archive.org/web/20241226013532/http://www.alessandromanzoni.org/biblioteca/esemplari/5614,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
ALI Autografi dei Letterati Italiani,http://www.autografi.net/it/,TRUE,,,,,KNOT,http://purl.org/knot/data/ali-project,FALSE,,2017-10-22 06:23:17,2024-11-17 07:03:37,200,https://web.archive.org/web/20241117070337/http://www.autografi.net/it,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
ALIM Archivio della Latinità Italiana del Medioevo,http://alim.unisi.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/alim-project,FALSE,,2017-11-13 22:16:44,2025-01-01 13:15:17,200,https://web.archive.org/web/20250101131517/https://alim.unisi.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Alpilink,https://alpilink.it/ascoltaeesplora/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2023-09-12 06:07:50,2024-09-07 16:35:43,200,https://web.archive.org/web/20240907163543/https://alpilink.it/ascoltaeesplora/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Alpion,https://alpion.unict.it,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2022-01-20 22:55:43,2024-09-10 23:54:37,200,https://web.archive.org/web/20240910235437/http://alpion.unict.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
AMiGre,,FALSE,http://amigre.upatras.gr/,TRUE,,FALSE,AIUCD,,FALSE,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2017-08-08 07:50:57,2024-08-11 12:13:23,200,https://web.archive.org/web/20240811121323/https://amigre.upatras.gr/%CE%B5%CE%BA%CE%B4%CE%B7%CE%BB%CF%89%CF%83%CE%B5%CE%B9%CF%83-%CE%BA%CE%B1%CE%B9-%CF%81%CE%BF%CE%B7-%CE%B5%CF%81%CE%B3%CE%B1%CF%83%CE%B9%CF%89%CE%BD/
AMS Historica Unibo,https://historica.unibo.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/ams-historica-project,FALSE,,2022-09-23 11:50:38,2025-01-03 15:28:21,200,https://web.archive.org/web/20250103152821/https://historica.unibo.it/favicon.ico,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
"An IT Support for an Exhibition of Illuminated
Manuscripts",https://ipsa.dei.unipd.it/,FALSE,,FALSE,,FALSE,IRCDL,,FALSE,,2013-01-17 08:22:14,2021-03-02 15:44:47,NOSTATUSCODE,https://web.archive.org/web/20210302154447/http://ipsa.dei.unipd.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library,https://imagelab.ing.unimore.it/annoteProject,FALSE,,FALSE,,FALSE,IRCDL,,FALSE,,,,404,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archaide,http://www.archaide.eu/,FALSE,,,,,KNOT,http://purl.org/knot/data/archaide-project,FALSE,è necessario avere delle credenziali,2017-01-16 07:46:50,2024-01-27 00:49:54,NOSTATUSCODE,https://web.archive.org/web/20240127004954/http://www.archaide.eu/archaide-theme/scripts/main.js?update=107,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
ArchiDATA - Archivio di (retro)datazioni lessicali,https://www.archidata.info/,TRUE,,,,,KNOT,http://purl.org/knot/data/archidata-project,FALSE,,2006-02-08 12:11:34,2024-12-02 18:20:10,200,https://web.archive.org/web/20241202182010/https://www.archidata.info/favicon.ico,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archilet - archivio delle corrispondenze letterarie di età moderna,http://www.archilet.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/archilet-project,FALSE,,2012-10-11 01:01:05,2024-12-17 20:47:10,200,https://web.archive.org/web/20241217204710/https://www.archilet.it/css/style.css,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archilochus,,FALSE,https://www.clarin.eu/content/archilochus-paros-elegiac-fragments-xml-archive,TRUE,,FALSE,Italian DH Institutions,,FALSE,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2021-09-28 11:44:14,2023-09-22 14:59:31,200,https://web.archive.org/web/20230922145931/https://www.clarin.eu/content/archilochus-paros-elegiac-fragments-xml-archive
Archivio della Latinità Italiana del Medioevo,http://en.alim.unisi.it/dl/fonti_documentarie,TRUE,,FALSE,,FALSE,AIUCD,,TRUE,,2017-10-21 04:10:58,2023-06-05 04:07:42,200,https://web.archive.org/web/20230605040742/http://en.alim.unisi.it/dl/fonti_documentarie,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio digitale del Risorgimento in Sardegna,https://storia.dh.unica.it/archiviodigitalerisorgimento/,TRUE,,,,,KNOT,http://purl.org/knot/data/archivio-risorgimento-sardegna-project,FALSE,,2020-09-24 14:44:16,2024-11-26 22:16:19,200,https://web.archive.org/web/20241126221619/https://storia.dh.unica.it/archiviodigitalerisorgimento/contact,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio Elettronico delle Opere di Carlo Emilio Gadda,http://dbtvm1.ilc.cnr.it/Gadda/,TRUE,,,,,KNOT,http://purl.org/knot/data/gadda-archive-project,TRUE,lo abbiamo già ma è interessante vedere i link diversi,2024-05-22 08:54:38,2024-06-28 17:03:05,200,https://web.archive.org/web/20240628170305/http://dbtvm1.ilc.cnr.it/Gadda/stile.css,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio fonti orali,https://pric.unive.it/progetti/archivio-fonti-orali/home,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2021-02-28 04:06:39,2024-12-04 07:06:04,200,https://web.archive.org/web/20241204070604/http://pric.unive.it/progetti/archivio-fonti-orali/home,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
