Titolo,URL progetto,Sito funzionante,Sito non trovato,Sito non funzionante,Sito non reinderizzato,Sito parzialmente Inacessibile,Sito dopo migrazione,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,NOTE,URL progetto First_Seen,URL progetto Last_Seen,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot
VOCABO,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html,TRUE,,FALSE,Italian DH Institutions,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2024-10-20 22:10:06,2024-10-20 22:10:06,200,https://web.archive.org/web/20241020221006/http://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html
Varianti della rosa,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://www.variantidellarosa.it/,TRUE,,FALSE,AIUCD,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2021-12-22 15:28:01,2026-02-09 14:12:01,200,https://web.archive.org/web/20260209141201/https://www.variantidellarosa.it/
university research funding patent,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/,TRUE,,FALSE,Italian DH Institutions,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2020-11-25 05:24:29,2026-01-14 10:58:16,200,https://web.archive.org/web/20260114105816/https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/
"TrebleCLEF: Evaluation, Best Practices and Collaboration for Multilingual Access",https://www.multimatch.org/,FALSE,FALSE,TRUE,FALSE,FALSE,,https://www.trebleclef.eu/,TRUE,,FALSE,IRCDL,,,2006-06-23 00:53:49,2024-11-02 12:28:27,2006-06-23 00:53:49,2024-11-02 12:28:27,NOSTATUSCODE,https://web.archive.org/web/20241102122827/http://multimatch.org/,2008-03-14 23:03:49,2024-12-03 16:09:29,200,https://web.archive.org/web/20241203160929/http://www.trebleclef.eu/%E5%8F%82%E7%85%A7
TRANSSCRIPT,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://anr.fr/Project-ANR-14-CE31-0022,TRUE,,FALSE,AIUCD,,protocolo https non aggiornato,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,
"Toward an Audio Digital Library 2.0: SMASH, a Social Music Archive of SHellac Phonographic Discs",https://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,protocolo https non aggiornato,2024-04-15 09:19:38,2024-04-16 19:25:36,2024-04-15 09:19:38,2024-04-16 19:25:36,404,https://web.archive.org/web/20240416192536/http://avires.dimi.uniud.it/tmp/DL/Experimental_Results.htmlAs,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
The Sound of St Mark's,http://vmo.unive.it/choirbooks/,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/sound-stmark-project,,2018-04-30 07:50:10,2024-11-25 08:12:18,2018-04-30 07:50:10,2024-11-25 08:12:18,NOSTATUSCODE,https://web.archive.org/web/20241125081218/http://vmo.unive.it/choirbooks/files/square_thumbnails/2de5ae776ee428b0e8224d620b200308.jpg,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
The nuncio's secret archives,,FALSE,TRUE,FALSE,FALSE,FALSE,,https://nsa.unipr.it,TRUE,,FALSE,Italian DH Institutions,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2021-08-22 18:54:26,2025-12-20 00:41:35,200,https://web.archive.org/web/20251220004135/http://www.nsa.unipr.it/
"The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results",https://www.openuphub.eu/,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,Adobe Flash Player,2017-06-05 00:00:23,2025-03-25 02:00:56,2017-06-05 00:00:23,2025-03-25 02:00:56,NOSTATUSCODE,https://web.archive.org/web/20250325020056/http://openuphub.eu/community/blog/item/ecommender-systems-as-enabling-technology-to-interlink-scholarly-information-2,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
The digital lab of “crunched books”: explore and annotate the classics,http://cbook.it/en/,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2015-02-22 12:00:23,2024-01-19 14:03:36,2015-02-22 12:00:23,2024-01-19 14:03:36,NOSTATUSCODE,https://web.archive.org/web/20240119140336/http://www.cbook.it/en,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
"The Challenges of Building Ex Libris Rosetta, a Digital Preservation System",https://exlibrisgroup.com/products/rosetta-digital-asset-management-and-preservation/,FALSE,FALSE,TRUE,TRUE,FALSE,https://knowledge.exlibrisgroup.com/Rosetta,,FALSE,,FALSE,IRCDL,,protocolo https non aggiornato,2018-02-03 22:25:00,2026-03-05 12:02:12,2018-02-03 22:25:00,2026-03-05 12:02:12,200,https://web.archive.org/web/20260305120212/https://www.exlibrisgroup.com/products/rosetta-digital-asset-management-and-preservation/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Tebtynis: fragmentary voices from the past,http://www.papirologia.unipr.it/ricerca/CPGM/index.html,FALSE,FALSE,FALSE,TRUE,FALSE,http://www.papirologia.unipr.it/ricerca/tebtynis.html,,FALSE,,FALSE,Italian DH Institutions,,,,,,,404,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
