Titolo,URL progetto,Sito funzionante,Sito non trovato,Sito non funzionante,Sito non reinderizzato,Sito parzialmente Inacessibile,Sito dopo migrazione,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,NOTE,URL progetto First_Seen,URL progetto Last_Seen,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot
VOCABO,,False,True,False,False,False,,https://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html,True,,False,Italian DH Institutions,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2024-10-20 22:10:06,2024-10-20 22:10:06,200,https://web.archive.org/web/20241020221006/http://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html
Varianti della rosa,,False,True,False,False,False,,https://www.variantidellarosa.it/,True,,False,AIUCD,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2021-12-22 15:28:02,2026-02-09 14:12:01,200,https://web.archive.org/web/20260209141201/https://www.variantidellarosa.it/
university research funding patent,,False,True,False,False,False,,https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/,True,,False,Italian DH Institutions,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2020-11-25 05:24:29,2026-01-14 10:58:16,200,https://web.archive.org/web/20260114105816/https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/
"TrebleCLEF: Evaluation, Best Practices and Collaboration for Multilingual Access",https://www.multimatch.org/,False,False,True,False,False,,https://www.trebleclef.eu/,True,,False,IRCDL,,,2006-06-23 00:53:49,2024-11-02 12:28:27,2006-06-23 00:53:49,2024-11-02 12:28:27,NOSTATUSCODE,https://web.archive.org/web/20241102122827/http://multimatch.org/,2008-03-14 23:03:49,2024-07-10 09:16:36,200,https://web.archive.org/web/20240710091636/https://www.trebleclef.eu/
TRANSSCRIPT,,False,True,False,False,False,,https://anr.fr/Project-ANR-14-CE31-0022,True,,False,AIUCD,,protocolo https non aggiornato,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,,,200,
"Toward an Audio Digital Library 2.0: SMASH, a Social Music Archive of SHellac Phonographic Discs",https://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html,False,False,True,False,False,,,False,,False,IRCDL,,protocolo https non aggiornato,2024-04-15 09:19:38,2024-04-15 09:19:38,2024-04-15 09:19:38,2024-04-15 09:19:38,404,https://web.archive.org/web/20240415091938/http://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
The Sound of St Mark's,http://vmo.unive.it/choirbooks/,False,False,True,False,False,,,,,,KNOT,http://purl.org/knot/data/sound-stmark-project,,2018-05-02 09:01:48,2024-07-23 23:58:09,2018-05-02 09:01:48,2024-07-23 23:58:09,NOSTATUSCODE,https://web.archive.org/web/20240723235809/http://vmo.unive.it/choirbooks/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
The nuncio's secret archives,,False,True,False,False,False,,https://nsa.unipr.it,True,,False,Italian DH Institutions,,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2022-01-17 01:58:32,2025-12-20 00:41:35,200,https://web.archive.org/web/20251220004135/http://www.nsa.unipr.it/
"The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results",https://www.openuphub.eu/,False,False,True,False,False,,,False,,False,IRCDL,,Adobe Flash Player,2017-06-05 00:00:23,2024-12-03 20:49:24,2017-06-05 00:00:23,2024-12-03 20:49:24,NOSTATUSCODE,https://web.archive.org/web/20241203204924/https://www.openuphub.eu/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
The digital lab of “crunched books”: explore and annotate the classics,http://cbook.it/en/,False,False,True,False,False,,,False,,False,DH Awards,,,2015-02-22 12:00:23,2024-01-19 14:03:36,2015-02-22 12:00:23,2024-01-19 14:03:36,NOSTATUSCODE,https://web.archive.org/web/20240119140336/http://www.cbook.it/en,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
