categoria,institution,location,institution_url,project_name,project_link
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,/dh.arc - digital humanities advanced research centre,https://centri.unibo.it/dharc/en
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,research,https://centri.unibo.it/dharc/en/research
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,research topics,https://centri.unibo.it/dharc/en/research/topics
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,projects,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,partnerships,https://centri.unibo.it/dharc/en/research/partner
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,visiting fellows,https://centri.unibo.it/dharc/en/research/visiting-fellow
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,iccd,http://www.iccd.beniculturali.it/it/progetti/4597/arco-architettura-della-conoscenza-ontologie-per-la-descrizione-del-patrimonio-culturale
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,artchives - the inventory of art historians’ archives,http://artchives.fondazionezeri.unibo.it/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,clef. crowdsourcing linked open entities via web forms,https://polifonia-project.github.io/clef/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,clef,https://github.com/polifonia-project/registry_app
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,dhdkey!,https://projects.dharc.unibo.it/dhdkey/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,digital library (ficlit),https://dl.ficlit.unibo.it
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,edizione nazionale delle opere di aldo moro,https://aldomorodigitale.unibo.it/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,mario project,http://www.mario-project.eu/portal/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,fp7 iks project,https://www.iks-project.eu/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,knot. patrimoni culturali digitali degli atenei,https://icdp-digital-library.github.io/KNOT/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,catalogue,https://projects.dharc.unibo.it/knot/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,leggo manzoni,https://projects.dharc.unibo.it/leggomanzoni/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,lift - linked data from tei,https://projects.dharc.unibo.it/lift/
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,mauth - mining authoritativeness in art history,http://projects.dharc.unibo.it/mauth/search
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc,melody. make me a linked open data story,https://projects.dharc.unibo.it/melody/
